EMPRESA,ÁREA,SISTEMA,TIPO
1,1,1,1
1,1,2,1
2,2,3,1
2,3,4,1
2,4,5,1
3,1,6,1
4,5,7,1
4,6,8,1
3,1,9,1
5,5,10,1
6,1,11,1
7,1,12,1
8,4,13,1
9,2,3,2
9,2,14,2
10,5,15,2
11,1,16,2
11,1,6,2
11,1,17,2
11,1,18,2
12,6,19,3
13,6,20,3
14,4,21,2
15,6,22,2
15,6,23,2
16,4,24,2
16,4,25,2
16,4,26,2
16,4,27,2
16,4,28,2
8,4,29,4
17,4,30,2
17,4,31,2
16,4,32,2
18,4,33,3
