2;;1;;NO;;AT01 Alto Achachicala;;ATAAC11501;;115/69;;38.0;;AAC115;;A3-270;;AAC069;;B3-271;;40.0;;115.0;;69.0;;0.004;;0.07;;0.0;;0.02;;1.0;;0.9;;1.1;;0.0125;;14.057;;44.5;;0.0652;;-0.0972;;48.0;;YNyn0
2;;1;;NO;;AT02 Alto Achachicala;;ATAAC11502;;115/69;;38.0;;AAC115;;A3-260;;AAC069;;B3-261;;40.0;;115.0;;69.0;;0.004;;0.07;;0.0;;0.02;;1.0;;0.9;;1.1;;0.0125;;14.057;;44.5;;0.0652;;-0.0972;;48.0;;YNyn0
2;;1;;NO;;AT03 Alto Achachicala;;ATAAC11503;;115/69;;38.0;;AAC115;;A3-250;;AAC069;;B3-251;;40.0;;115.0;;69.0;;0.004;;0.07;;0.0;;0.02;;1.0;;0.9;;1.1;;0.0125;;14.057;;44.5;;0.0652;;-0.0972;;48.0;;YNyn0
3;;2;;NO;;AT01 Arboleda;;ATARB230;;230/115;;90.0;;ARB230;;ARB2A220;;ARB115;;ARB1A180;;100.0;;230.0;;115.0;;0.001617;;0.087942;;0.001617;;0.087942;;1.0;;0.9;;1.1;;0.01;;38.925;;0.0;;-1.1041;;0.09516;;nan;;YNynd1
4;;3;;NO;;AT01 Bolivar;;ATBLV069;;69/25;;3.8;;BLV069;;nan;;BLV025;;nan;;4.0;;69.0;;25.0;;0.007;;0.042;;0.0;;0.038;;1.0;;0.9;;1.1;;0.025;;0.0;;0.0;;0.445;;0.0246;;nan;;YNynd
3;;4;;SI;;AT01 Catavi;;ATCAT115;;120/72;;24.0;;CAT115;;nan;;CAT069;;nan;;25.0;;120.0;;72.0;;0.0018358;;0.0242;;0.0018358;;0.0206;;1.0;;0.8;;1.1;;0.01;;17.175;;0.0;;-0.2233;;0.0538;;32.5;;YNynd1
5;;4;;SI;;AT01 Guaracachi;;ATGCH23001;;230/69;;71.0;;GCH230;;Z662;;GCH069;;B655;;75.0;;230.0;;69.0;;0.0023903;;0.0817568;;0.0023903;;0.0817568;;0.925;;0.85;;1.05;;0.0125;;55.05;;0.0;;-2.7074;;0.2451;;90.0;;YNynd1
5;;4;;SI;;AT02 Guaracachi;;ATGCH23002;;230/69;;71.0;;GCH230;;Z661;;GCH069;;B656;;75.0;;230.0;;69.0;;0.0023903;;0.0817568;;0.0023903;;0.0817568;;0.925;;0.85;;1.05;;0.0125;;44.09;;0.0;;-2.7373;;0.245863;;90.0;;YNynd1
2;;1;;NO;;AT01 Kenko;;ATKEN11501;;115/69;;38.0;;KEN115;;A3-350;;KEN069;;B3-351;;40.0;;115.0;;69.0;;0.004;;0.07;;0.0;;0.02;;1.0;;0.9;;1.1;;0.0125;;14.057;;44.5;;0.0652;;-0.0972;;48.0;;YNyn0
2;;1;;NO;;AT02 Kenko;;ATKEN11502;;115/69;;38.0;;KEN115;;A3-360;;KEN069;;B3-361;;40.0;;115.0;;69.0;;0.004;;0.07;;0.0;;0.02;;1.0;;0.9;;1.1;;0.0125;;14.057;;44.5;;0.0652;;-0.0972;;48.0;;YNyn0
6;;5;;NO;;AT01 Landara;;ATLAN069;;69/44;;11.88;;LAN069;;nan;;LAN044;;C442;;12.5;;69.0;;44.0;;0.0039;;0.0313;;0.0039;;0.028;;1.025;;0.95;;1.05;;0.025;;nan;;nan;;-0.544;;0.0312;;nan;;YNynd
2;;4;;SI;;AT01 Mazocruz;;ATMAZ230;;230/115;;143.0;;MAZ230;;Z310,Z311;;MAZ115;;nan;;150.0;;230.0;;115.0;;0.002046;;0.0853995;;0.002046;;0.0853995;;1.0;;0.85;;1.05;;0.0125;;73.97;;0.0;;-2.5482;;0.2442;;180.0;;YNynd1
6;;4;;SI;;AT01 Potosí;;ATPOT115;;120/72;;24.0;;POT115;;A431;;POT069;;B441;;25.0;;120.0;;72.0;;0.0018;;0.0588;;0.0018;;0.04998;;1.0;;0.909;;1.11;;0.0063;;17.29;;0.0;;-1.649;;0.2105;;32.5;;YNynd1
